1231283029953392647 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230845362379935749 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1283683731023237120 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1276557559990677504 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Can't decide || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1316746487901155338 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1237770978698149888 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains Fake Information :: Can't decide || Dialect :: Middle East || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: No || News or Opinion :: Opinion || Rise Moral :: No || Talk About Cure or Vaccine :: Yes || Worth Fact-checking :: Can't decide
1242858583169040391 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1238862936183054336 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1268166933427478528 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1238911837279838210 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1230972299140042752 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230947034502434816 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1261921812348313601 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1291407379914006528 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1230913926847717376 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1268267657641504770 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1230920019615375361 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1291381906966290433 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1262380580664115201 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1261977413749223424 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1262989560201596929 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1234526082164019201 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1283760077292347392 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1315686280802566149 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: No || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1261035861103316992 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1286385564414095362 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1233408192094392320 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1331944898493362177 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: Yes || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1262137363691683843 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1282797186502332416 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1244011286330998784 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Can't decide || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Maybe
1237734562924552193 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains Fake Information :: Can't decide || Dialect :: Middle East || Factual :: Can't decide || Give Advice :: No || Contains_Hate :: No || News or Opinion :: Opinion || Rise Moral :: No || Talk About Cure or Vaccine :: Yes || Worth Fact-checking :: Can't decide
1307017212914475010 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: No
1239171397232066560 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: No || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1295822684543242240 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1231210846862397440 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1316499401846788102 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1269845110268858368 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1230863370330480640 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230876831441702913 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1231182561596059653 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230980520324018177 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1279025927628959744 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1242772132465172482 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1262099065577320450 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1242006592268242945 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1238120368176533506 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1231307800271302657 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1304152235933343752 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: No || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1232991224690348032 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1320769832401412100 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Yes
1244262409486950410 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Maybe
1249647408788668416 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: MSA || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1221402687159316481 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: Yes || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: No
1230939734056325120 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1244979919165231104 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Can't decide || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Maybe
1262833700863184898 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1282001574257135617 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1320253780747821056 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: No || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1237748157825589249 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: Yes || Give Advice :: No || Rise Moral :: No || News or Opinion :: News || Dialect :: MSA || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: No
1261038609202851843 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
1231042000868302848 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1290204858482438145 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230901858501382144 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1233430961313984512 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1245027082205302784 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Can't decide || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Maybe
1230873256602763264 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1262491330506379264 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1259196189666394112 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230961147420999681 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1230838934785208322 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Yes
1247266051773157377 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: Yes || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Can't decide || Factual :: Yes || Worth Fact-checking :: Yes || Contains Fake Information :: Maybe
1292283673895735296 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1299709860142080001 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Yes || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1288273411878334464 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: Yes || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: North Africa || Factual :: Can't decide || Worth Fact-checking :: Maybe || Contains Fake Information :: Maybe
1291118867713003520 ||||| Blame, Negative, Demoralizing Speech :: Yes || Contains_Hate :: No || Talk About Cure or Vaccine :: No || Give Advice :: No || Rise Moral :: No || News or Opinion :: Opinion || Dialect :: Middle East || Factual :: Can't decide || Worth Fact-checking :: Can't decide || Contains Fake Information :: Can't decide
