Tweet_ID;Blame_Negative_Demoralizing_Speech;Contains_Fake_Information;Dialect;Factual;Give_Advice;Hate_Speech;News_or_Opinion;Rise_Moral;Talk_About_Cure_or_Vaccine;Worth_Fact-checking
1268282155148480514;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1246492223123972097;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1305889659067785218;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1263700625012989954;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1256011723120787456;No;Can't decide;MSA;Can't decide;Yes;Not Hatfull;Opinion;No;No;Can't decide
1241144744908120064;No;Maybe;North Africa;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1239181095322738693;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1272943619633303552;No;Maybe;Middle East;Can't decide;No;Hatfull;Opinion;No;No;No
1231885353658830848;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;Yes
1273229318903169024;No;Can't decide;Middle East;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1274821915132203009;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;Yes;No;Can't decide
1235223008085671937;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1296011094281146368;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1280429330573770752;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1273275921332649990;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Yes
1321384880178106368;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1266180075185156097;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1309054354259881984;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1323667783901716480;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1281371349043367937;No;Can't decide;Can't decide;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1333121278778150912;Yes;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;Yes;Maybe
1239216641461936135;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1272156600715755522;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1250301703519211522;No;No;MSA;Is Verifiable;Yes;Not Hatfull;News;No;No;No
1326485220351160321;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1253066532361506816;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1263187123198361605;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1242135491488763904;No;No;North Africa;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1239159099444678658;Yes;Can't decide;North Africa;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1330945190530588672;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;Yes;Can't decide
1327213519385792518;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1267500149258977288;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1321542623820218369;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1239282873691246597;No;Maybe;North Africa;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1244897531030536194;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1236724611045359616;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1286344511480881154;No;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1253343843388358663;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1282962246344245249;No;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1262080930870689794;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1257005683469365249;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1242894957695901696;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1242215704272797698;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1268887907483467778;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1279980172750532609;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1280082220129177600;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1264252148545720321;No;Can't decide;Middle East;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1242750772414218242;No;Can't decide;MSA;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1236621921531367425;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1231503219299356672;Yes;Yes;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1222098774673240065;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1305148198705561601;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1247086307295277056;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1250514231042039808;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1252586388299620352;No;Can't decide;Middle East;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1279569198553890817;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1325088154316120064;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1329425885611618304;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1249946782454382592;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1228780303432474624;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1261575584762802177;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1254964922540347392;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1250727590102552576;No;Can't decide;Can't decide;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1279968669355958275;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1930855717940695040;Yes;Can't decide;North Africa;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1240261895778635779;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1247097993737588736;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1256492858552573953;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1323663770737139718;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1293290104362942465;No;No;North Africa;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1243498060925280256;No;No;North Africa;Is Verifiable;No;Not Hatfull;News;No;No;No
1960451737728245760;Yes;Maybe;North Africa;Can't decide;No;Hatfull;Opinion;No;No;Maybe
1242329670621822977;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1262394159329140744;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1245762166055145472;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1328360050151354369;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1274645281808748545;No;Can't decide;Middle East;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1328341860331491332;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1308962666975825920;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1232569067783032832;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1235638521081352197;No;Yes;Middle East;Is Verifiable;No;Hatfull;Opinion;No;No;Yes
1256607211478016003;No;Can't decide;MSA;Can't decide;No;Not Hatfull;Opinion;Yes;Yes;Can't decide
1268133357617119233;Yes;Yes;MSA;Is Verifiable;Yes;Not Hatfull;News;No;No;Yes
1245336611237302273;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1282733956354445313;Yes;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1251631205386260481;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1329338511703601153;No;Can't decide;Middle East;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1238239144658251786;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1265791347308539904;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1273238975872983041;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1260543332146651136;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;No
1247248642278375424;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1265470435803758593;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1271126474930733057;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1261120036544053248;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1265956776547139585;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1288498783119118338;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1320006439121936384;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1252911716083662850;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1271104341940764672;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1265401575276773378;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1328310325620379649;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1329930960452902912;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1288457903070949376;Yes;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1322593447409274880;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1307608647724421120;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1254220330857529345;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1242384023428743168;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1271168201280442369;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1266457014332506112;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1246985659618918402;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1238181819276804096;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1329788319463510016;No;Can't decide;Middle East;Can't decide;Yes;Not Hatfull;Opinion;No;No;Can't decide
1275847880146894854;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1261081636852006912;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1330231561757798406;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;Yes;Can't decide
1239979922728333312;No;Can't decide;MSA;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1239507050222288898;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1327626501739712513;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1222094017732796416;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1236042846614011908;No;No;Middle East;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1325539704025001986;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1235966484750401536;No;No;Middle East;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1322750712296734720;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1235961400226430976;No;No;Middle East;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1269204553360121856;No;Maybe;Middle East;Can't decide;No;Hatfull;Opinion;No;No;No
1930034063967113216;No;Can't decide;Middle East;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1261146206237069313;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1233047909178003462;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;Yes;Can't decide
1249009767194013696;No;No;North Africa;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1242158078184865805;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1930169174607462400;No;Can't decide;North Africa;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1247155007364812801;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1262139622957727745;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1231943292276924417;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;Yes
1255565394666033154;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1321383036731219969;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1308062497044418560;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1327563858173587458;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1236189477569286144;No;No;Middle East;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1313149997303693312;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1258362922440499200;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1242096380728037378;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1238782681808281600;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1233420894783049728;No;Maybe;Can't decide;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1301267065802760199;No;Can't decide;MSA;Can't decide;No;Not Hatfull;Opinion;Yes;No;Can't decide
1277585361863139328;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;Yes;No;Can't decide
1261356121895374848;No;Yes;MSA;Is Verifiable;No;Not Hatfull;Opinion;No;Yes;Yes
1241507077882875909;Yes;Yes;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1235261630046441473;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1250499539720642561;No;Can't decide;North Africa;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1268175962585391104;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1254129721677426688;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1253700026448166915;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1255330760715878400;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1284544714201616384;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1222115797616746496;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1289608346798977024;No;No;North Africa;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1235530833789763584;No;Can't decide;Can't decide;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1248678045805957120;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1239982818081587201;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1263083114181660672;Yes;Maybe;North Africa;Can't decide;No;Hatfull;Opinion;No;No;Maybe
1272786398865653761;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1331361553174687744;No;Can't decide;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1310120343072276480;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1310293333412065284;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1234626540740083712;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1930980891705249793;Yes;Can't decide;North Africa;Can't decide;No;Hatfull;Opinion;No;No;Can't decide
1222055476621463552;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1285580649856991232;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;Opinion;No;Yes;Can't decide
1297127516822556673;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1286358310069903360;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1223004160062369800;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1274000251389644802;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Yes
1262152151155060737;Yes;Maybe;North Africa;Can't decide;No;Not Hatfull;Opinion;No;No;Maybe
1248892713317142528;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1249429902165782528;No;Can't decide;MSA;Can't decide;No;Not Hatfull;Opinion;Yes;No;Can't decide
1258724743861108737;No;No;Middle East;Is Verifiable;No;Not Hatfull;Opinion;Yes;No;No
1326882690075815938;Yes;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Yes
1266459295815589888;No;No;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Maybe
1324867122061856770;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1279964418147782657;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1288144841604501507;No;Can't decide;Middle East;Is Not Verifiable;No;Not Hatfull;Opinion;No;No;Can't decide
1325801731868012546;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1291680461006278657;Yes;Maybe;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1320833988559331328;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1282156087869833221;No;No;MSA;Is Verifiable;No;Not Hatfull;Opinion;No;No;No
1263488126137380869;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1246927307073175553;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1230875657607008256;Yes;Yes;Middle East;Is Verifiable;No;Not Hatfull;Opinion;No;No;Maybe
1263217415661457409;Yes;Maybe;North Africa;Can't decide;No;Hatfull;Opinion;No;No;Maybe
1250075589828100098;No;Can't decide;MSA;Is Not Verifiable;Yes;Not Hatfull;Opinion;No;No;Can't decide
1280392083933708288;No;Can't decide;MSA;Can't decide;No;Not Hatfull;Opinion;Yes;No;Can't decide
1309948488474595328;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1326200992061419522;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1295816692338241536;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1244173773852606465;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1242153380157575168;No;Can't decide;North Africa;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1240572932469993473;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1284146880570687489;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1295028787604840449;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1251192296672047104;No;Can't decide;Middle East;Is Not Verifiable;No;Hatfull;Opinion;No;No;Can't decide
1293513767351984130;No;Can't decide;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1338152091680960513;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1239491665439666176;No;Maybe;North Africa;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1254822882590547970;No;No;MSA;Is Verifiable;No;Not Hatfull;News;No;No;No
1328310405580591104;No;Maybe;MSA;Is Verifiable;No;Not Hatfull;News;No;Yes;Maybe
1250027163920797696;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;Yes;Can't decide
1262474356845936644;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1234177687134121989;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1240013286176931840;No;Can't decide;Middle East;Can't decide;No;Not Hatfull;Opinion;No;No;Can't decide
1244179291706929152;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;Opinion;No;No;Yes
1236042840507133953;No;No;Middle East;Is Verifiable;No;Not Hatfull;News;No;No;Maybe
1259925325884149761;No;No;MSA;Is Verifiable;No;Not Hatfull;News;Yes;No;No
1287843123842949127;No;Can't decide;MSA;Can't decide;No;Not Hatfull;News;No;No;Can't decide
1249410833555259393;No;Maybe;MSA;Is Verifiable;Yes;Not Hatfull;News;No;No;Maybe
